Sl.No ,STATE,District,Recharge from Rainfall during Monsoon season(Ham),Recharge From Other Sources during monsoon season(Ham),Recharge from Rainfall during non-monsoon season(Ham),Recharge From Other Sources during non-monsoon season(Ham),Annual Replenishable resources(Ham),Annual Natural Discharge (Ham),Net Annual Ground Water Availability  (Ham),Draft due to Irrigation Needs(Ham),Draft due to Domestic & Industrial Water Supply Needs(Ham),Total annual Draft(Ham),Projected demand for Domestic and Industrial uses  upto 2025 (Ham), Ground Water Availability for Future Irrigation use (Ham),Stage of Ground Water Develop ment (%) 
248,JHARKHUND,Sahebganj,22760.58,81.3,2846.52,312.93,26001.33,2408.84,23592.49,1521,1733.21,3254.21,647,21424.49,14
249,JHARKHUND,Saraikela - Kharsawan,12405.86,41.86,1118.43,157.64,13723.79,1372.38,12351.41,753,1735.57,2488.57,547,11051.41,20
250,JHARKHUND,Simdega,27209.61,109.12,4375.94,422.64,32117.31,2793.29,29324.02,2064.5,812.69,2877.19,347,26912.52,10
251,JHARKHUND,West Singhbhum,28338.38,35.64,3774.44,123.53,32271.99,3047.25,29224.74,550.5,2412.4,2962.9,860,27814.24,10
252,KARNATAKA,Bagalkote,13180,15127,5950,9993,44250,3636,40614,33563,3397,36959,4966,7175,91
253,KARNATAKA,Bangalore Rural,8080,3447,4999,3524,20050,1126,18924,22824,2228,25051,2250,0,132
254,KARNATAKA,Bangalore Urban,6838,1218,3624,1583,13262,695,12568,12473,6381,18854,6381,0,150
255,KARNATAKA,Belgaum,31660,47403,10926,23207,113196,10053,103143,75403,6875,82278,10549,21655,80
256,KARNATAKA,Bellary,21478,23266,13408,15125,73276,6970,66305,24851,3768,28619,6410,35378,43
257,KARNATAKA,Bidar,21027,2220,3874,3989,31110,1973,29137,16047,2039,18085,3021,10070,62
258,KARNATAKA,Bijapur,27339,7979,9209,7203,51730,3770,47960,31247,5356,36603,8336,8378,76
259,KARNATAKA,Chamrajnagara,15207,11108,6062,7603,39980,2812,37168,26694,2402,29096,2915,10857,78
260,KARNATAKA,Chikballapur,11478,8404,7901,4539,32322,2708,29614,41425,1404,42829,1501,250,145
261,KARNATAKA,Chikmagalur,35469,12546,12862,6528,67406,12104,55301,22455,2458,24913,3490,29501,45
262,KARNATAKA,Chitradurga,22359,8851,15463,8257,54930,4863,50067,48900,3915,52815,4628,2641,105
263,KARNATAKA,Dakshin Kannada,40482,1722,7174,3515,52893,19899,32995,19802,3274,23076,4215,8977,70
264,KARNATAKA,Davangere,22127,10614,13697,15111,61548,4832,56716,47750,3818,51568,5007,8553,91
265,KARNATAKA,Dharwad,17088,3826,6236,2584,29733,5901,23832,12087,2685,14772,4649,7096,62
266,KARNATAKA,Gadag,10616,5772,6012,4619,27018,2025,24994,21025,2095,23121,2741,3198,93
267,KARNATAKA,Gulbarga,29555,5208,9049,25938,69749,5853,63896,17033,3444,20476,7650,39213,32
268,KARNATAKA,Hassan,20686,28756,13069,18648,81159,8392,72768,38560,2826,41386,3915,30560,57
269,KARNATAKA,Haveri,16407,23541,9235,6758,55941,3869,52072,31838,3009,34847,4816,15435,67
270,KARNATAKA,Kodagu,18475,1577,9156,1236,30444,4821,25623,5560,1434,6994,1889,18174,27
271,KARNATAKA,Kolar,13326,6353,7515,7380,34574,1827,32746,58921,3438,62359,3438,0,190
272,KARNATAKA,Koppal,13636,19903,7018,19673,60230,5717,54513,22057,2518,24575,4131,28325,45
273,KARNATAKA,Mandya,12189,45549,7482,38921,104141,10136,94004,43281,2410,45691,4316,46407,49
274,KARNATAKA,Mysore,18777,19258,12551,12837,63422,5013,58410,23537,4044,27581,6250,28623,47
275,KARNATAKA,Raichur,19191,30077,9152,33339,91759,8732,83027,23696,2788,26484,5111,54220,32
276,KARNATAKA,Ramanagara,9392,4405,7004,4044,24846,1678,23168,19918,6294,26212,6377,464,113
277,KARNATAKA,Shimoga,39539,35873,11424,19968,106804,15901,90903,23797,2943,26740,5877,61230,29
278,KARNATAKA,Tumkur,28669,22448,20112,16010,87239,5633,81606,75323,4326,79649,6660,11414,98
279,KARNATAKA,Udupi,46777,973,5995,1770,55516,21755,33761,9839,2722,12561,3874,20048,37
280,KARNATAKA,Uttar kannada,70340,3664,5611,3356,82972,30456,52516,17207,3587,20794,10920,24389,40
281,KARNATAKA,Yadgir,13013,6646,5425,13201,38285,3336,34949,9232,1339,10571,2841,22876,30
282,KERALA,Alappuzha,28700,67,7091,10869,46727,3566,43161,3893,9855,13748,9453,29815,32
283,KERALA,Ernakulam,38788,304,7264,13502,59858,5986,53872,7700,12178,19878,13638,32533,37
284,KERALA,Idukki,17048,189,3276,1757,22270,2227,20043,5516,4637,10153,4046,10481,51
285,KERALA,Kannur,45281,0,0,6831,52112,5211,46901,8012,10567,18579,10999,27889,40
286,KERALA,Kasargod,31746,770,0,4643,37158,3716,33442,16397,6561,22958,7180,9865,69
287,KERALA,Kollam,27379,138,8949,3880,40346,3891,36455,4995,11282,16277,12893,18567,45
288,KERALA,Kottayam,31597,105,6607,6994,45304,4530,40774,4850,8282,13132,9155,26769,32
289,KERALA,Kozhikode,35393,148,0,1286,36827,3683,33144,4411,13429,17839,14590,14144,54
290,KERALA,Malappuram,42101,330,6401,8552,57383,5696,51687,9560,20654,30214,23886,18241,58
291,KERALA,Palakkad,33473,895,6068,30433,70870,7087,63783,21858,13426,35285,14112,27899,55
292,KERALA,Pathanamthitta,20200,121,6344,3508,30174,2901,27273,3647,5645,9292,5433,18193,34
293,KERALA,Trivandrum,22497,240,6603,3050,32389,2765,29624,5291,12563,17854,12888,11445,60
294,KERALA,Thrissur,46381,875,0,17004,64261,6086,58175,20470,12337,32808,12938,24766,56
295,KERALA,Wayanad,30553,30,0,634,31217,3122,28096,1576,3898,5474,3777,22743,19
