Sl.No ,STATE,District,Recharge from Rainfall during Monsoon season(Ham),Recharge From Other Sources during monsoon season(Ham),Recharge from Rainfall during non-monsoon season(Ham),Recharge From Other Sources during non-monsoon season(Ham),Annual Replenishable resources(Ham),Annual Natural Discharge (Ham),Net Annual Ground Water Availability  (Ham),Draft due to Irrigation Needs(Ham),Draft due to Domestic & Industrial Water Supply Needs(Ham),Total annual Draft(Ham),Projected demand for Domestic and Industrial uses  upto 2025 (Ham), Ground Water Availability for Future Irrigation use (Ham),Stage of Ground Water Develop ment (%) 
360,MAHARASHTRA,Jalna,60331.03,2750.85,692.73,25565.34,89339.95,4875.89,84464.07,43770.69,1360.75,45131.44,2721.5,37971.87,53
361,MAHARASHTRA,Kolhapur,59764.92,8867.2,3667.49,59567.6,131867.21,6971.12,124896.1,48658.89,1436.04,50094.93,2872.08,73365.13,40
362,MAHARASHTRA,Latur,50585.86,3961.41,0,17012.84,71560.11,3578.01,67982.1,51112.21,2249.36,53361.57,4085.7,14980.57,78
363,MAHARASHTRA,Nagpur,71693.57,4427.49,11334.08,28369.76,115824.9,5791.24,110033.65,55781.95,5929.04,61710.99,11699.78,42551.92,56
364,MAHARASHTRA,Nanded,105861.07,882.4,16607.75,17585.22,140936.45,7052.15,133884.3,34725.4,3309.99,38035.4,6618.94,92539.96,28
365,MAHARASHTRA,Nandurbar,42593.32,2235.11,0,8437.21,53265.64,2988.83,50276.81,22405.6,3085.97,25491.58,6171.95,21699.26,51
366,MAHARASHTRA,Nashik,147883.34,10527.6,285.4,43692.96,202389.29,10942.27,191447.02,106355.59,3518.53,109874.12,6525.52,82424.97,57
367,MAHARASHTRA,Osmanabad,65225.72,7164.26,8022.2,16654.48,97066.67,4853.33,92213.34,54752.49,2305.61,57058.11,4447.04,33226.98,62
368,MAHARASHTRA,Parbhani,57441.09,888.4,3870.48,24575.71,86775.68,4460.47,82315.21,35413.93,2015.09,37429.02,4009.9,42891.39,45
369,MAHARASHTRA,Pune,101905.14,12904.56,3568.4,65283.89,183662,9652.65,174009.35,120523.31,8015.8,128539.11,14444.4,44233.51,74
370,MAHARASHTRA,Raigad,36139.11,352.4,0,5443.73,41935.24,2133.3,39801.94,4195.14,2094.08,6289.23,4188.16,31418.63,16
371,MAHARASHTRA,Ratnagiri,46668.99,134.69,0,1843.88,48647.56,2436.04,46211.53,4194.18,1248.51,5442.69,2497.02,39520.33,12
372,MAHARASHTRA,Sangli,56693.61,10911.63,2462.01,30585.54,100652.79,5234.69,95418.1,71147.46,2835.92,73983.38,5105.76,20936.96,78
373,MAHARASHTRA,Satara,59260.16,8757.87,10544.24,26006.09,104568.35,5316.75,99251.6,71821.96,5072.92,76894.88,9820.46,17760.32,77
374,MAHARASHTRA,Sindhudurg,25173.86,142.92,208.73,1936.46,27461.97,1373.1,26088.87,6361.98,1963.31,8325.29,3926.61,15800.27,32
375,MAHARASHTRA,Solapur,99444.95,13137.57,13436.88,40846.07,166865.46,8500.34,158365.12,114689.73,4862.7,119552.43,9039.12,39516.89,75
376,MAHARASHTRA,Thane,36679.41,484.13,0,6126.36,43289.91,2191.04,41098.86,7471.1,1516.02,8987.12,3032.03,30595.72,22
377,MAHARASHTRA,Wardha,60983.82,505.64,9366.49,16401.19,87257.13,4432.4,82824.73,37306.69,3755.57,41062.27,7511.15,38006.89,50
378,MAHARASHTRA,Washim,44896,2826.45,1680.01,10655.09,60057.55,3004.09,57053.46,20173.57,1615.38,21788.95,3230.76,33649.13,38
379,MAHARASHTRA,Yeotmal,104323.96,2996.45,19473.47,14027,140820.88,7078.37,133742.51,21553.99,5752.54,27306.53,11505.07,100683.44,20
380,MANIPUR,Imphal West-I Block,2682.93,86.38,2201.92,172.85,5144.08,514.41,4629.67,93.31,25.95,119.26,404.33,4132.03,2.58
381,MANIPUR,Imphal West-II Block,2272.38,111.74,1864.97,223.49,4472.58,447.26,4025.32,12.04,3.99,16.03,942.37,3070.91,0.4
382,MANIPUR,Imphal East-I Block,2223.68,77.04,1825,154.09,4279.81,427.98,3851.83,6.02,2,8.02,902.84,2942.97,0.21
383,MANIPUR,Imphal East-II Block,4545.71,87.65,3730.72,174.95,8539.03,853.9,7685.13,27.09,6.99,34.08,282.99,7375.05,0.44
384,MANIPUR,Thoubal Block,3093.49,165.92,2538.86,331.87,6130.14,613.02,5517.12,33.11,5.99,39.1,745.34,4738.67,0.71
385,MANIPUR,Kakching Block,1814.08,146,1488.84,292.04,3740.96,374.09,3366.87,57.19,4.99,62.18,352.23,2957.45,1.85
386,MANIPUR,Bishnupur Block,2673.38,62.42,2194.08,124.88,5054.76,505.48,4549.28,33.11,5.99,39.1,480.09,4036.08,0.86
387,MANIPUR,Moirang Block,2062.32,67.45,1692.58,134.92,3957.27,395.73,3561.54,24.08,3.99,28.07,293.1,3244.36,0.79
388,MANIPUR,Khuga catchment/ Khuga Valley *,3064.84,158.82,2515.36,317.71,6056.73,605.67298,5451.06,75.25,9.98,85.23,452.73,4923.08,1.56
389,MEGHALAYA,East Khasi Hills,32240,0,1726,861,34826,3483,31343,0,200,200,6040,25303,0.64
390,MEGHALAYA,West Khasi Hills,24637,0,1395,830,26863,2686,24177,0,14,14,1835,22342,0.06
391,MEGHALAYA,South West Khasi Hills,14785,0,838,302,15926,1593,14333,0,5,5,1835,12498,0.04
392,MEGHALAYA,East Jaintia Hills,45056,0,2703,995,48754,4875,43879,0,33,33,742,43137,0.07
393,MEGHALAYA,West Jaintia Hills,31668,0,1897,997,34561,3456,31105,5,34,39,1697,29403,0.12
394,MEGHALAYA,Ri-Bhoi,10559,0,585,2263,13406,1340,12066,0,20,20,1912,10154,0.17
395,MEGHALAYA,East Garo Hills,10136,0,475,942,11553,1156,10397,0,13,13,980,9417,0.13
396,MEGHALAYA,North Garo Hills,17784,0,835,713,19331,1933,17398,150,10,160,929,16319,0.92
397,MEGHALAYA,West Garo Hills,79681,0,3518,1580,84780,8478,76302,300,49,349,3053,72949,0.46
398,MEGHALAYA,South West Garo Hills,22661,0,1001,490,24151,2415,21736,350,15,365,813,20573,1.68
399,MEGHALAYA,South Garo Hills,15323,0,348,716,16387,1639,14748,0,2,2,897,13851,0.02
400,MIZORAM,Aizawl ,347.28,NA,154.13,NA,501.42,50.14,451.27,0,22.99,22.99,56.16,395.11,5.09
401,MIZORAM,Champhai ,624.55,NA,261.5,NA,886.05,88.6,797.44,0,17.49,17.49,32.92,764.52,2.19
402,MIZORAM,Kolasib ,391.15,NA,134.37,NA,525.53,52.55,472.98,0,8.69,8.69,22.1,450.88,1.84
403,MIZORAM,Lawngtalai ,538.24,NA,154.41,NA,692.65,69.27,623.39,0,9.41,9.41,31.61,591.76,1.51
404,MIZORAM,Lunglei,256.85,NA,77.75,NA,334.6,33.46,301.14,0,25.74,25.74,40.24,260.9,8.55
405,MIZORAM,Mamit ,291.93,NA,116.41,NA,408.33,40.83,367.5,0,5.17,5.17,23.17,344.33,1.41
406,MIZORAM,Saiha,250.39,NA,67.07,NA,317.45,31.75,285.71,0,3.41,3.41,14.87,270.84,1.19
407,MIZORAM,Serchipp,199.35,NA,76.89,NA,276.24,27.62,248.62,0,11,11,17.1,231.52,4.42
408,MIZORAM,Kohima,11240,NA,5531,NA,16770,1677,15093,0,489.53,489.53,134.59,14959.41,3.2
409,MIZORAM,Dimapur,7812,NA,3844,NA,11655,1166,10490,0,1043.76,1043.76,723.06,9766.94,10
410,MIZORAM,Phek,16693,NA,8214,NA,24907,2491,22416,0,264.05,264.05,61.14,22354.86,1.2
411,MIZORAM,Mokokchung,12525,NA,6163,NA,18689,1869,16820,0,239.94,239.94,38.04,16780.96,1.4
412,MIZORAM,Zunheboto,9402,NA,4626,NA,14028,1403,12625,0,188.14,188.14,33.4,12591.6,1.5
413,MIZORAM,Wokha,12769,NA,6283,NA,19052,1905,17147,0,250.52,250.52,52.57,17094.43,1.5
414,NAGALAND,Tuenchung,21035,NA,10351,NA,31386,3139,28247,0,304.15,304.15,66.27,28180.73,1.1
415,NAGALAND,Mon,14187,NA,6981,NA,21168,2117,19051,0,351.62,351.62,66.95,18984.05,1.8
416,NAGALAND,Peren,12945,NA,6370,NA,19316,1932,17384,0,133.79,133.79,25.47,17358.53,0.8
417,NAGALAND,Kiphire,8261,NA,4065,NA,12326,1233,11093,0,103.98,103.98,19.8,11073.2,0.9
418,NAGALAND,Longleng,3329,NA,1638,NA,4966,497,4470,0,70.93,70.93,13.51,4456.49,1.6
419,ODISHA,Angul,37078,4312,1645,5795,48830,2753,46077,12934,3698,16632,4786,28357,36
420,ODISHA,Balasore,78853,13281,4808,19543,116485,6422,110063,52556,6095,58651,10072,47435,53
421,ODISHA,Bargarh,38893,4556,1127,4261,48837,2783,46054,9706,3180,12886,4097,32250,28
422,ODISHA,Bhadrak,26200,8525,1862,11629,48216,2807,45409,24521,2361,26882,3612,17276,59
423,ODISHA,Bolangir,45972,5958,3265,5599,60794,3138,57656,11283,2968,14250,3464,42909,25
424,ODISHA,Boudh,14105,7742,1930,6123,29900,2061,27839,5238,912,6150,1460,21141,22
425,ODISHA,Cuttack,38608,12326,2430,22353,75717,5001,70716,21925,6129,28054,8143,40648,40
426,ODISHA,Deogarh,13351,4256,0,4566,22173,1544,20629,3116,652,3768,1020,16493,18
427,ODISHA,Dhenkanal,36582,3574,2820,3896,46872,2608,44264,9897,2819,12716,3558,30809,29
428,ODISHA,Gajapati,10985,3549,5802,3673,24009,1339,22670,5769,1061,6830,1302,15599,30
429,ODISHA,Ganjam,52792,33115,21513,15650,123070,8529,114541,30028,7062,37090,9836,74677,32
430,ODISHA,Jagatsinghpur,20734,9595,2328,16026,48683,3654,45029,21813,1899,23712,2563,20653,53
431,ODISHA,Jajpur,39472,4761,7385,8786,60404,3471,56933,26128,2347,28476,3181,27624,50
432,ODISHA,Jharsuguda,14605,1572,0,1600,17777,986,16791,3984,1459,5443,1830,10977,32
433,ODISHA,Kalahandi,49321,15576,0,15088,79985,5074,74911,12049,4137,16187,9644,53218,22
434,ODISHA,Kandhamal,46661,5696,16364,5610,74331,4065,70266,8704,1679,10383,2580,58982,15
435,ODISHA,Kendrapara,5926,4318,179,7282,17705,924,16781,9147,625,9772,830,6804,58
436,ODISHA,Keonjhar,67852,5920,4720,7605,86097,4774,81323,20630,4069,24699,6407,54286,30
437,ODISHA,Khurda,27948,7316,8884,6639,50787,3169,47618,11286,5341,16627,8317,28015,35
438,ODISHA,Koraput,56710,7072,4249,5587,73618,4501,69117,5317,2489,7806,3928,59872,11
439,ODISHA,Malkangiri,25865,5111,1091,3824,35891,2293,33598,2845,1136,3981,1860,28893,12
440,ODISHA,Mayurbhanj,87685,31446,10090,29333,158554,10360,148194,40751,5556,46307,8989,98454,31
441,ODISHA,Nabarangapur,46035,1724,3730,1615,53104,2798,50306,5446,2918,8364,6815,38045,17
442,ODISHA,Nayagarh,25801,6297,6747,6714,45559,2877,42682,9224,2036,11260,2854,30604,26
443,ODISHA,Nuapada,25491,5113,0,5314,35918,2232,33686,6311,1489,7800,3262,24113,23
444,ODISHA,Puri,35384,7829,11480,8202,62895,4089,58806,10249,3066,13315,5170,43387,23
445,ODISHA,Rayagada,42949,10007,7779,9408,70143,4462,65681,8809,1984,10793,3332,53540,16
446,ODISHA,Sambalpur,34746,10749,0,10989,56484,3964,52520,7200,2440,9640,3403,41917,18
447,ODISHA,Subarnapur,17161,2348,607,2531,22647,1218,21429,3443,1238,4681,1843,16143,22
448,ODISHA,Sundergarh,65419,9060,0,7621,82100,4775,77325,14154,4466,18621,6542,56628,24
449,PUNJAB,Amritsar,31505,105098,8276,49958,194837,19484,175354,214857,5758,220615,7888,-47391,126
450,PUNJAB,Barnala,12048,38649,2261,15396,68354,6835,61518,117876,1323,119200,1758,-58117,194
451,PUNJAB,Bathinda,27287,63805,5024,61883,157998,13823,144175,130255,3123,133378,4467,9453,93
452,PUNJAB,Faridkot,12423,38807,2169,14883,68281,6828,61453,94880,3313,98193,3730,-37157,160
453,PUNJAB,Fatehgarh Sahib,16051,35729,3631,9852,65263,6526,58737,109995,2034,112028,2412,-53670,191
454,PUNJAB,Fazilka,20520,45701,3239,34232,103693,10369,93323,85719,2807,88526,3882,3722,95
455,PUNJAB,Ferozepur,17728,101830,5275,26383,151215,13716,137499,196392,1935,198327,2588,-61481,144
456,PUNJAB,Gurdaspur,40050,102020,10846,28731,181648,17175,164473,198971,4466,203437,5301,-39799,124
457,PUNJAB,Hoshiarpur,48129,28410,12080,12010,100629,9523,91106,85840,4403,90242,4966,301,99
458,PUNJAB,Jalandhar,36029,73150,8248,27473,144900,14490,130410,264505,7425,271930,9404,-143499,209
459,PUNJAB,Kapurthala,21525,45859,5835,9741,82960,8296,74664,148991,3806,152797,4183,-78511,205
460,PUNJAB,Ludhiana,47978,128976,10154,49196,236305,23630,212674,333230,10605,343835,13512,-134069,162
461,PUNJAB,Mansa,17805,55495,3548,38062,114911,11491,103420,143197,13,143210,13,-39791,138
462,PUNJAB,Moga,21767,84416,4225,19114,129522,12952,116570,239509,1855,241363,2360,-125299,207
463,PUNJAB,Muktsar,20742,28362,3859,31619,84583,8458,76125,51061,2460,53521,2460,22604,70
464,PUNJAB,Nawanshahr,20792,32784,4903,16002,74481,7448,67033,69991,1457,71448,1612,-4570,107
465,PUNJAB,Patiala,43509,88156,9210,29245,170120,17012,153108,285530,4332,289862,6381,-138803,189
466,PUNJAB,Pathankot,14456,9214,4240,6170,34081,2121,31959,18497,1827,20324,2173,11288,64
467,PUNJAB,Ropar,18105,14211,4265,9337,45918,3845,42073,43686,2425,46111,2752,-4365,110
468,PUNJAB,Mohali,19373,6173,4231,2404,32181,3218,28963,23323,5051,28374,6735,-1095,98
469,PUNJAB,Sangrur,39861,107177,8902,36856,192796,19280,173517,362759,3668,366426,4795,-194037,211
470,PUNJAB,Tarn Taran,26846,87490,7185,35168,156689,15669,141020,185665,2531,188196,3736,-48381,133
471,RAJASTHAN,Ajmer,27309.03,1516.75,0,6547.9,35373.68,3307.53,32066.15,42400.35,4740.12,47140.47,4780.69,0,147
472,RAJASTHAN,Alwar,68629.55,4480.48,7513.86,13315.3,93939.2,8435.34,85503.86,136205.42,12664.6,148870.02,12082.26,50.35,174
473,RAJASTHAN,Banswara,10629.26,1569.69,0,15633.94,27832.89,4174.92,23657.97,9537.99,1932.88,11470.87,2424.15,11695.83,48
474,RAJASTHAN,Baran,37057.95,4656.56,0,14457.27,56171.78,5617.2,50554.58,55493.89,5112.36,60606.25,8983.58,5470.07,120
475,RAJASTHAN,Barmer,25719.48,628.44,0,1453.28,27801.2,2597.76,25203.44,24351.04,6863.6,31214.64,6529.73,2160.73,124
476,RAJASTHAN,Bharatpur,37978.78,2589.64,1655.1,8383.04,50606.56,4906.06,45700.5,47429.31,6854.81,54284.12,7838,880.95,119
477,RAJASTHAN,Bhilwara,33289.91,2408.94,0,11926.62,47625.47,4595.18,43030.29,56126.45,4144.95,60271.4,2896.95,3.64,140
478,RAJASTHAN,Bikaner,24223.55,235.12,0,1025.65,25484.32,1274.21,24210.11,26932.98,8948.7,35881.68,8774.35,4508.77,148
479,RAJASTHAN,Bundi,21518.51,2170.96,0,16751,40440.47,5507.8,34932.67,30468.89,2729.94,33198.83,3790.1,4939.32,95
480,RAJASTHAN,Chittaurgarh,25987.41,1986.27,0,10099,38072.68,3687.47,34385.21,44922.51,1497.53,46420.04,5035.95,0,135
481,RAJASTHAN,Churu,14182.21,0,0,0,14182.21,709.11,13473.1,9945.78,2529,12474.78,5779.65,3046.77,93
482,RAJASTHAN,Dausa,21801.67,1788.35,339.46,4312.94,28242.42,2808.83,25433.59,39022.94,2554.22,41577.16,2906.12,0,163
483,RAJASTHAN,Dhaulpur,23243.56,1344.36,0,5362.63,29950.56,2418.52,27532.04,30952.17,2914.52,33866.69,3577.71,1751.59,123
484,RAJASTHAN,Dungarpur,8068.92,1288.02,0,5320.37,14677.3,1344.53,13332.77,8675.7,904.29,9579.99,3575.29,1637.16,72
485,RAJASTHAN,Ganganagar,2732.7,14447.22,664.23,22568.46,40412.61,4041.27,36371.34,15726.9,594.3,16321.2,1485.75,19512.59,45
486,RAJASTHAN,Hanumangarh,2849.45,5091.16,314.31,10004.48,18259.4,1825.95,16433.45,13355.91,749,14104.91,1123.51,1954.05,86
487,RAJASTHAN,Jaipur,59950.28,2416.02,3294.11,6439.52,72099.93,7021.11,65078.82,117891.64,31596.29,149487.93,37904.13,502.88,230
488,RAJASTHAN,Jaisalmer,6949.03,15.3,0,52.27,7016.6,654.6,6362,12558.56,3273.23,15831.79,2561.01,2393.45,249
489,RAJASTHAN,Jalor,41074.54,1131.8,0,4474.38,46680.72,4036.01,42644.71,78962.16,4196.76,83158.92,4288.38,1150.76,195
490,RAJASTHAN,Jhalawar,45084.69,2537.51,0,18855.84,66478.04,11797.37,54680.67,52181.92,1757.09,53939.01,2643.15,3328.69,99
491,RAJASTHAN,Jhunjhunun,21482.6,494.46,3493.13,2089.63,27559.81,2483.55,25076.26,46268.45,10405.13,56673.58,9289.82,322.65,226
492,RAJASTHAN,Jodhpur,39439.14,698.81,1595.88,2156.24,43890.07,4337.78,39552.29,77929.93,12828.9,90758.83,13192.7,5109.17,229
493,RAJASTHAN,Karauli,31628.47,1092.42,0,3149.59,35870.48,3462.12,32408.36,42186.98,5217.52,47404.5,5337.46,857.82,146
494,RAJASTHAN,Kota,32091.51,3481.93,0,22098.44,57671.87,5446.21,52225.66,49673.66,5020.15,54693.81,9099.44,6706.06,105
495,RAJASTHAN,Nagaur,50680.13,510.73,4126.04,2203.5,57520.39,5604.86,51915.53,82336.25,19293.25,101629.5,19588.62,4137.78,196
496,RAJASTHAN,Pali,27194.32,841.59,0,4627.35,32663.26,3201.41,29461.85,31490.91,3393.7,34884.61,3550.27,1392.72,118
497,RAJASTHAN,Pratapgarh,11381.2,1099.2,0,4658.19,17138.59,1585.36,15553.23,17385.76,608.68,17994.44,2824.25,851.68,116
498,RAJASTHAN,Rajsamand,8544.74,951.55,0,2933.95,12430.24,1243.05,11187.19,10310.48,1547.63,11858.11,3641.6,69.61,106
499,RAJASTHAN,Sawai Madhopur,34805.98,1513.12,0,4919.05,41238.16,3352.84,37885.32,38764.21,8178.26,46942.47,8182.55,358.75,124
500,RAJASTHAN,Sikar,26717.6,538.81,3989.48,1616.39,32862.28,3158.51,29703.77,38040.24,6913.23,44953.47,9332.85,856.04,151
501,RAJASTHAN,Sirohi,26133.76,902.58,0,3330.76,30367.11,2848.81,27518.3,30650.67,1108.48,31759.15,1411.88,1163.48,115
502,RAJASTHAN,Tonk,35862.12,3286.11,0,9522.62,48670.85,4429.7,44241.15,36519.28,7554.14,44073.42,9246.55,2565.7,100
503,RAJASTHAN,Udaipur,21401.63,1550.48,0,9150.44,32102.55,3741.75,28360.8,24143.33,3129.84,27273.17,7839.28,932.33,96
504,TAMILNADU,Ariyalur,18501.09,14472.61,3331.68,2863.2,39168.58,3916.86,35251.72,13264.47,2269.52,15534,2416.32,19570.93,44
505,TAMILNADU,Chennai,1507.57,0,155.66,0,1663.23,166.32,1496.9,0,2768.26,2768.26,4783.4,-3286.49,185
506,TAMILNADU,Coimbatore,23854.87,9918.47,6088.47,10083.55,49945.37,4994.54,44950.83,37775.17,5131.28,42906.45,5695.72,1479.94,95
507,TAMILNADU,Cuddalore,54122.89,76991.16,7290.33,4367.91,142772.29,14277.23,128495.06,51766.31,34160.25,85926.56,34550.88,42177.87,67
508,TAMILNADU,Dharmapuri,18300.67,14245.02,3936.29,4262.08,40744.07,4074.41,36669.66,45262.44,1903.07,47165.51,2163.03,-10755.81,129
509,TAMILNADU,Dindigul ,28201.76,14717.19,6753.51,14790.5,64462.96,6446.3,58016.67,60102.31,2468.3,62570.61,2978.07,-5063.718677,108
510,TAMILNADU,Erode ,18150.67,44594.91,4734.24,6991.57,74471.4,7447.14,67024.26,57638.3,6029.53,63667.83,6446.14,2939.82,95
511,TAMILNADU,Kancheepuram,39764.25,60450.45,3891.37,13057.96,117164.02,11716.4,105447.62,63406,5062.76,68468.76,7056.19,34985.43,65
512,TAMILNADU,Kanniyakumari,6482.034,13913.175,3186.222,3039.248,26620.679,2662.068,23958.611,3192.9875,1059.93,4252.92,1498.7,19266.92533,18
513,TAMILNADU,Karur,12827.83,14656.08,4171.08,3152.98,34807.98,3480.8,31327.18,28365.87,1921.71,30287.58,2184.21,777.09,97
514,TAMILNADU,Krishnagiri,18866.13,11874.79,5051.48,3568.81,39361.2,3936.12,35425.08,38331.3,2158.18,40489.48,2455.17,-5361.39,114
515,TAMILNADU,Madurai,19000.09,38423.45,4474.74,8988.35,70886.63,7088.66,63797.96,39040.31,4010.38,43050.69,4777.33,19980.32,67
516,TAMILNADU,Nagapattinam,7699.06,8453.34,962.84,1267.11,18382.35,1838.24,16544.12,15718.3,1005.9,16724.2,1139.7,-313.88,101
517,TAMILNADU,Namakkal,15068.67,16547.67,3698.31,5142.05,40456.71,4045.67,36411.04,43872.62,2194.58,46067.2,2394.94,-9856.52,127
518,TAMILNADU,Nilgiris,11489.2,206.52,2718.84,99.91,14514.46,1451.45,13063.02,602,533.38,1135.38,599.48,11861.53,9
519,TAMILNADU,Perambalur,9886.51,9422.31,2002.4,2589.05,23900.27,2390.03,21510.24,25081.84,1162.69,26244.53,1256.82,-4828.41,122
520,TAMILNADU,Pudukkottai,32655.97,53813.23,8591.77,14485.46,109546.43,10954.64,98591.79,36092.1,2184.25,38276.35,2465.3,60034.39,39
521,TAMILNADU,Ramanathapuram,13902.83,31102.99,4557.26,8173.04,57736.13,5773.61,51962.52,5931.04,1403.53,7334.57,1671.89,44359.59,14
522,TAMILNADU,Salem,24823.77,19897.46,5191.89,10763.96,60677.09,6067.71,54609.38,58715.04,4984.54,63699.58,5303.45,-9409.12,117
523,TAMILNADU,Sivagangai,19777.74,58564.75,4809.26,17535.62,100687.37,10068.74,90618.63,17771.25,1401.34,19172.59,1684.34,71163.05,21
524,TAMILNADU,Thanjavur,34518.3,34707.43,5801.61,7919.42,82946.75,8294.68,74652.08,73452.65,2517.97,75970.62,2888.96,-1689.54,102
525,TAMILNADU,Theni,12078.02,14613.1,8342.69,7949.83,42983.63,4298.36,38685.27,29341.1,754.22,30095.32,898.45,8445.72,78
526,TAMILNADU,Thirunelveli,27573.65,56865.41,9166.99,7327.09,100933.15,10093.32,90839.84,56980.26,2011.28,58991.54,2390.86,31468.72,65
527,TAMILNADU,Thiruvallur,25814.59,48563.48,2001.54,1911.55,78291.16,7829.12,70462.05,29548.04,18598.82,48146.86,19141.09,21772.92,68
528,TAMILNADU,Thiruvannamalai,40412.49,73856.89,5223.55,4604.26,124097.19,12409.72,111687.47,99684.23,3278.01,102962.24,3725.78,8277.45,92
529,TAMILNADU,Thiruvarur,14236.15,12665.29,1989.2,4511.77,33402.41,3340.24,30062.17,22440.25,1343.36,23783.61,1526.86,6095.05,79
530,TAMILNADU,Thoothukudi,17749.74,25783.35,5770.64,7011.77,56315.5,5631.55,50683.95,20056.05,1591.15,21647.2,1895.44,28732.46,43
531,TAMILNADU,Tiruchy,22918.12,44440.59,4482.72,6013.11,77854.54,7785.45,70069.09,49515.74,7175.3,56691.04,7451.28,13102.08,81
532,TAMILNADU,Tiruppur,20702.35,14107.38,5114.77,10492.8,50417.29,5041.73,45375.57,47619.24,3319.59,50938.83,3593.61,-5837.28,112
533,TAMILNADU,Vellore,27371.76,28411.08,5009.04,4731.2,65523.07,6552.31,58970.76,54257.79,6548.26,60806.05,7353.64,-2640.67,103
534,TAMILNADU,Villupuram,52900.59,97858.36,6552.43,7989.73,165301.11,16530.11,148771,141402.85,5010.48,146413.34,5688.53,1679.61,98
535,TAMILNADU,Virudhunagar,20769.7,22583.37,7014.81,8903.64,59271.52,5927.15,53344.37,31730.44,2017.71,33748.15,2513.11,19100.82,63
536,TELANGANA,Adilabad,134072,20183,29299,22680,206234,18764,187470,64218,7503,71721,12632,110620,38
537,TELANGANA,Karimnagar,85309,32311,18937,61419,197976,18344,179633,120625,16239,136864,46578,12430,76
538,TELANGANA,Khammam,105130,12436,30811,25670,174047,14742,159305,54538,6077,60615,9144,95623,38
539,TELANGANA,Mahbubnagar,93749,31386,29192,33697,188024,18730,169294,75667,10747,86414,14617,79010,51
540,TELANGANA,Medak,75233,14904,1315,21835,113287,10517,102770,71410,4936,76346,9895,21465,74
541,TELANGANA,Nalgonda,100411,44061,667,40360,185499,17248,168251,98868,10087,108955,12590,56794,65
542,TELANGANA,Nizamabad,65712,27968,16028,34758,144466,13337,131128,79763,4160,83923,8278,43087,64
543,TELANGANA,Rangareddy & Hyderabad,44711,5590,12691,8702,71694,6931,64763,34598,8248,42846,25998,4167,66
544,TELANGANA,Warangal,109041,22757,26084,35313,193195,16787,176408,100657,8241,108898,15712,60039,62
545,TRIPURA,West Tripura ,46162.77,0,21425.38,25363.09,92951.24,8765.18,84186.06,7134,3184.35,10318.35,8462.55,68589.51,12.3
546,TRIPURA,South Tripura ,29306.64,0,21169.87,17200.36,67676.88,3982.73,63694.14,1980,1777.21,3757.21,5624.64,56089.5,5.9
547,TRIPURA,North Tripura ,19082.26,0,16038.83,9046.79,44167.88,3666.86,40501.03,174,1415.89,1589.89,4073.4,36253.62,3.9
548,TRIPURA,Dhalai,19524.17,0,15117.28,7711.48,42352.93,3833.28,38519.65,30,778.3,808.3,1800.11,36689.54,2.1
549,UTTAR PRADESH,Agra,50080.33,12074.69,8142.72,22170.07,92467.81,9002.44,83465.37,85348.2,9658.76,95006.96,11653.2,5875.11,114
550,UTTAR PRADESH,Aligarh,42336.61,12208.23,8552.59,23752.13,86849.56,7860.75,78988.81,59009.41,7559.84,66569.25,12154.25,11670.63,84
551,UTTAR PRADESH,Allahabad,87028.66,26082.4,0,28959.34,142070.4,7271.37,134799.03,84964.93,16778.9,101743.83,20807.63,29337.92,75
552,UTTAR PRADESH,Ambedkar Nagar,42481.9,20978.2,10664.25,22976.96,97101.31,7527.6,89573.71,59962.4,4807.74,64770.14,6692,22919.31,72
553,UTTAR PRADESH,Amethi,51069.4,22653.53,3249.26,32600.93,109573.12,9342.25,100230.87,68020.78,5105.59,73126.37,6800.1,25409.99,73
554,UTTAR PRADESH,Amroha,45283.47,8402.81,7072.47,12756.64,73515.39,6509.25,67006.14,66896.07,3185.71,70081.78,4473.59,0,105
555,UTTAR PRADESH,Auraiya,28171.87,12733.16,0,27033.83,67938.86,3396.94,64541.92,41916.3,2846.95,44763.25,4057.7,18567.92,69
556,UTTAR PRADESH,Azamgarh,67999.46,24632.79,11114.8,33710.25,137457.3,6872.87,130584.44,71691.25,13638.24,85329.49,20477.28,38900.68,65
557,UTTAR PRADESH,Baghpat,31290.76,8059.28,0,14893.12,54243.16,2712.16,51531,47274.5,2307.33,49581.83,3063.95,2505.93,96
558,UTTAR PRADESH,Bahraich,95364.26,5868.41,5581.01,10978.84,117792.52,10243.24,107549.28,53488.56,6797.74,60286.3,12950.95,41109.77,56
559,UTTAR PRADESH,Ballia,41078.7,16776.44,7060.08,21001.17,85916.39,7911.44,78004.95,47954.04,6950.07,54904.11,12095.51,17955.4,70
560,UTTAR PRADESH,Balrampur,73414.86,5612.47,0,10331.44,89358.77,4467.94,84890.83,37313.54,4218.96,41532.5,5583.47,41993.82,49
561,UTTAR PRADESH,Banda,54331.2,9728.51,0,8661.2,72720.91,3636.05,69084.87,34505.92,2693.36,37199.28,3925.64,30653.31,54
562,UTTAR PRADESH,Barabanki,95513.81,40082.22,18264.15,71795.39,225655.57,18973.49,206682.08,134488.31,7687.53,142175.84,10576.98,61616.79,69
563,UTTAR PRADESH,Bareilly,91726.15,27516.99,3544.49,42505.41,165293.04,8264.65,157028.39,109698.77,9438,119136.77,9341.86,37987.76,76
